name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"الظهران, السعودية",2023-01-01,22,14,17.8,22,14,17.8,9.7,59.6,0,0,0,,0,0,30.2,24.2,328,1024.3,34.9,9,154.9,13.3,6,10,2023-01-01T06:27:17,2023-01-01T16:58:33,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-02,15,12,13.3,15,12,13.3,10.9,86,7.3,100,45.83,rain,0,0,34.9,25.7,298.7,1024.4,77.4,4.6,18.6,1.6,2,10,2023-01-02T06:27:34,2023-01-02T16:59:14,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-03,17,12,14.3,17,12,14.3,11.2,82.8,0,0,0,,0,0,23,23.8,298.8,1024.6,68.8,6.6,84,7.2,3,10,2023-01-03T06:27:49,2023-01-03T16:59:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-04,19.9,12,15.8,19.9,12,15.8,14.2,90.2,1.5,100,16.67,rain,0,0,32.8,18.3,72.9,1019.7,71.1,6.5,47.6,4.2,4,10,2023-01-04T06:28:02,2023-01-04T17:00:37,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-05,18,14,16.4,18,14,16.4,16.2,98.5,12.1,100,66.67,rain,0,0,39.6,34.6,354.5,1018.5,97.8,5.6,14,1.2,2,10,2023-01-05T06:28:14,2023-01-05T17:01:19,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-06,15,13,14.2,15,13,14.2,12.1,87.5,3.3,100,50,rain,0,0,27.4,22.1,300.4,1020.4,84.9,9.2,44.8,3.9,2,10,2023-01-06T06:28:25,2023-01-06T17:02:02,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-07,19,13.1,15.4,19,13.1,15.4,12.2,82,7.1,100,37.5,rain,0,0,27,22.2,299.8,1020.2,56,9.1,146.2,12.8,6,10,2023-01-07T06:28:34,2023-01-07T17:02:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-08,19,12,15.2,19,12,15.2,9.8,72.1,0,0,0,,0,0,22.3,16.5,318,1020.2,28.4,9.4,144.9,12.5,6,10,2023-01-08T06:28:42,2023-01-08T17:03:30,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-09,20,12,16.4,20,12,16.4,11.6,74.2,0,0,0,,0,0,39.2,20.3,118.3,1018.2,57.6,9,85.7,7.5,5,10,2023-01-09T06:28:48,2023-01-09T17:04:14,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-10,18,13,15.9,18,13,15.9,13.1,84.2,6.1,100,29.17,rain,0,0,52.9,37,290.1,1017.5,61.7,6.4,71,6.3,5,10,2023-01-10T06:28:53,2023-01-10T17:04:59,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الظهران, السعودية",2023-01-11,17,10,13.5,17,10,13.5,8.4,73.2,0.1,100,4.17,rain,0,0,42.8,35.1,307.1,1021.7,7.8,8.6,170,14.6,7,10,2023-01-11T06:28:56,2023-01-11T17:05:45,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
