name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-01,25,17.3,21.7,25,17.3,21.7,14.4,63.7,0,0,0,,0,0,20.2,16.2,308.6,1022.8,15,9.7,429.5,37.4,10,10,2023-01-01T07:04:18,2023-01-01T17:39:35,0.31,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-02,25.6,17.2,21.8,25.6,17.2,21.8,13,60.1,0,0,0,,0,0,35.6,17.7,55.5,1022.5,24.5,8.4,404.3,35.1,10,10,2023-01-02T07:04:35,2023-01-02T17:40:14,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-03,26,20.1,22.5,26,20.1,22.5,10.8,48.1,0,0,0,,0,0,36.7,21.6,38.1,1023.5,68.4,10,398,34.4,9,10,2023-01-03T07:04:50,2023-01-03T17:40:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-04,27,19.2,22.6,26.6,19.2,22.6,8.4,41.4,0,0,0,,0,0,49,27.3,88,1020.7,44.1,10,263.4,22.8,6,10,2023-01-04T07:05:04,2023-01-04T17:41:36,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-05,28,20.1,23.5,27.4,20.1,23.4,10.9,45.7,0,0,0,,0,0,47.9,20.6,143.5,1019.2,70.7,10,192.4,16.6,7,10,2023-01-05T07:05:17,2023-01-05T17:42:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-06,25.1,20.3,21.9,25.1,20.3,21.9,14.7,64.3,0,0,0,,0,0,25.9,32.1,41.1,1020.1,65.8,10,193.5,16.4,6,10,2023-01-06T07:05:29,2023-01-06T17:43:00,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-07,22,17.5,19.5,22,17.5,19.5,16,80.6,2.4,100,25,rain,0,0,31.7,19.3,39.3,1020,51.3,9.7,214.2,18.7,7,10,2023-01-07T07:05:39,2023-01-07T17:43:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-08,23.6,17.6,20.5,23.6,17.6,20.5,14.3,68.4,1.6,100,16.67,rain,0,0,18,18.8,301.8,1019.6,33.9,9.7,338.2,29.3,10,10,2023-01-08T07:05:47,2023-01-08T17:44:26,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-09,24,17.6,21,24,17.6,21,14.3,66.1,0,0,0,,0,0,15.8,13.4,22.9,1020.2,27.2,9.6,433.3,37.6,10,10,2023-01-09T07:05:54,2023-01-09T17:45:10,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
"جبيل, الشارقة, الإمارات العربية المتحدة",2023-01-10,29,17.8,22.5,28.9,17.8,22.6,16.2,69,0.2,100,8.33,rain,0,0,44.3,32.4,242.5,1017.4,18.4,7.8,404.7,35.1,10,10,2023-01-10T07:06:00,2023-01-10T17:45:54,0.61,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"OMSJ,41194099999,41194599999,OMDB,41196099999,E1978"
