name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"الخبر, السعودية",2023-01-01,22,14.1,17.8,22,14.1,17.8,9.7,59.7,0,0,0,,0,0,30.2,24.2,328,1024.3,35,9.1,154.9,13.3,6,10,2023-01-01T06:26:55,2023-01-01T16:58:17,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-02,15.1,12.1,13.4,15.1,12.1,13.4,10.9,85.9,7.3,100,45.83,rain,0,0,34.9,25.6,298.7,1024.4,77,4.7,18.6,1.6,2,10,2023-01-02T06:27:11,2023-01-02T16:58:58,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-03,17.1,12.1,14.4,17.1,12.1,14.4,11.2,82.6,0,0,0,,0,0,23,23.6,298.7,1024.6,68.4,6.6,84,7.2,3,10,2023-01-03T06:27:26,2023-01-03T16:59:39,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-04,19.9,12.1,15.8,19.9,12.1,15.8,14.2,90.1,1.5,100,16.67,rain,0,0,32.8,18.2,73.7,1019.7,70.8,6.5,47.6,4.2,4,10,2023-01-04T06:27:40,2023-01-04T17:00:21,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-05,18,14,16.4,18,14,16.4,16.2,98.3,12.1,100,66.67,rain,0,0,39.6,34.3,354.7,1018.5,97.3,5.6,14,1.2,2,10,2023-01-05T06:27:52,2023-01-05T17:01:03,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-06,15.1,13.1,14.2,15.1,13.1,14.2,12.1,87.5,3.3,100,50,rain,0,0,27.4,22.1,300.2,1020.4,83.9,9.2,44.8,3.9,2,10,2023-01-06T06:28:03,2023-01-06T17:01:46,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-07,19,13.1,15.4,19,13.1,15.4,12.2,81.9,7.1,100,37.5,rain,0,0,27,22.1,299.7,1020.2,56,9.1,146.2,12.8,6,10,2023-01-07T06:28:12,2023-01-07T17:02:30,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-08,19,12,15.2,19,12,15.2,9.8,72,0,0,0,,0,0,22.3,16.6,316.9,1020.2,28.4,9.4,144.9,12.5,6,10,2023-01-08T06:28:20,2023-01-08T17:03:14,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-09,20,12.1,16.4,20,12.1,16.4,11.6,74.1,0,0,0,,0,0,39.2,20.3,119.4,1018.3,58,9,85.7,7.5,5,10,2023-01-09T06:28:26,2023-01-09T17:03:58,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-10,18,13,15.9,18,13,15.9,13.1,84.1,6.1,100,29.17,rain,0,0,52.9,37,290.1,1017.5,61.4,6.5,71,6.3,5,10,2023-01-10T06:28:31,2023-01-10T17:04:43,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-11,17,10.1,13.5,17,10.1,13.5,8.4,73.2,0.1,100,4.17,rain,0,0,42.8,34.9,307.2,1021.7,8.1,8.6,170,14.6,7,10,2023-01-11T06:28:34,2023-01-11T17:05:28,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-12,18,9.1,13.3,18,6,13,5.7,61.4,0,0,0,,0,0,34.6,24.1,302.6,1021.4,27.1,10,168.2,14.5,6,10,2023-01-12T06:28:36,2023-01-12T17:06:14,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-13,20.9,12.1,16.2,20.9,12.1,16.2,11.8,76.7,0,0,0,,0,0,13.3,12.9,315.1,1020.6,59,7.5,106.5,9.1,6,10,2023-01-13T06:28:36,2023-01-13T17:07:00,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-14,19,15,17.3,19,15,17.3,16.1,92.6,0.5,100,20.83,rain,0,0,28.8,16.5,148.8,1019.3,68,5.5,129.1,11.2,6,10,2023-01-14T06:28:35,2023-01-14T17:07:46,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-15,22,17,18.6,22,17,18.6,15.9,85,0.6,100,25,rain,0,0,27,16.5,151.5,1017.6,43.4,9.4,138.2,12,6,10,2023-01-15T06:28:32,2023-01-15T17:08:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-16,22,16,18.8,22,16,18.8,17.1,90.7,0.4,100,8.33,rain,0,0,20.2,16.5,335.4,1016.8,32.1,3.4,147.2,12.7,6,10,2023-01-16T06:28:28,2023-01-16T17:09:19,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-17,24.9,14,19.5,24.9,14,19.5,16.6,84.4,0.1,100,4.17,rain,0,0,64.8,46,288.6,1013.9,36.7,5,96.1,8.4,5,10,2023-01-17T06:28:22,2023-01-17T17:10:06,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-18,19.9,12,14.9,19.9,12,14.9,7.8,64.8,0,0,0,,0,0,45.4,33.5,300,1018.5,11.9,7.2,169.2,14.6,7,10,2023-01-18T06:28:15,2023-01-18T17:10:53,0.88,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-19,20,11.1,14.9,20,11.1,14.9,9.4,70.4,0,0,0,,0,0,42.5,27.7,312.9,1020.1,37.5,9.4,165.5,14.3,7,10,2023-01-19T06:28:06,2023-01-19T17:11:40,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-20,20.9,10.1,15.2,20.9,10.1,15.2,10.2,73.7,0,0,0,,0,0,31.3,18.5,310.7,1019.7,13.9,10,179.1,15.4,7,10,2023-01-20T06:27:56,2023-01-20T17:12:27,0.95,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-21,20,9.1,14.9,20,7.5,14.8,8.7,69,0,0,0,,0,0,13.7,14.6,4.7,1019.5,0.8,7.7,180,15.5,7,10,2023-01-21T06:27:44,2023-01-21T17:13:14,0,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-22,22,10.2,16.2,22,10.2,16.2,11.3,75.8,0,0,0,,0,0,9,11,25.2,1018.3,18.8,8.4,178.1,15.4,7,10,2023-01-22T06:27:31,2023-01-22T17:14:02,0.02,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-23,22.9,16,18.7,22.9,16,18.7,13.4,74.4,0,0,0,,0,0,12.2,16.3,28.8,1018,35.6,7.5,161.2,13.9,7,10,2023-01-23T06:27:16,2023-01-23T17:14:49,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-24,21.9,14,17.8,21.9,14,17.8,13.1,75.7,2.1,100,25,rain,0,0,22,16.6,48.1,1017.6,47.5,7.5,148.4,12.7,6,10,2023-01-24T06:26:59,2023-01-24T17:15:36,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-25,21,14.1,17.5,21,14.1,17.5,14.6,84.1,0.6,100,20.83,rain,0,0,25.2,26,69.2,1016.5,52.2,9.3,170.7,14.8,7,10,2023-01-25T06:26:42,2023-01-25T17:16:22,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-26,18,14.1,16.6,18,14.1,16.6,15,90.3,8.1,100,58.33,rain,0,0,36.4,29.5,15.6,1015.9,84.3,8.5,47.4,4,3,10,2023-01-26T06:26:22,2023-01-26T17:17:09,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-27,21,14,16.8,21,14,16.8,8.6,62.5,1.1,100,25,rain,0,0,36.7,31.7,331,1018.1,28.7,9,187.5,16,7,10,2023-01-27T06:26:02,2023-01-27T17:17:56,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-28,21,11.1,15.3,21,11.1,15.3,7.3,61.9,0,0,0,,0,0,38.5,29.5,311.9,1019.9,8.5,8.3,191.2,16.3,7,10,2023-01-28T06:25:40,2023-01-28T17:18:42,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"الخبر, السعودية",2023-01-29,21,10.1,15.1,21,10.1,15.1,5,55.9,0,0,0,,0,0,28.4,13,243.2,1016.5,4.8,10,195.2,16.9,7,10,2023-01-29T06:25:16,2023-01-29T17:19:28,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
