name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-01,22,14,17.8,22,14,17.8,9.6,59.5,0,0,0,,0,0,30.2,24.1,328,1024.3,34.7,9,154.9,13.3,6,10,2023-01-01T06:27:11,2023-01-01T16:58:31,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-02,15,12,13.3,15,12,13.3,10.9,86.1,7.3,100,45.83,rain,0,0,34.9,25.8,298.8,1024.4,77.5,4.6,18.6,1.6,2,10,2023-01-02T06:27:27,2023-01-02T16:59:11,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-03,17,12,14.3,17,12,14.3,11.3,83.1,0,0,0,,0,0,23,24,299.1,1024.6,68.8,6.6,84,7.2,3,10,2023-01-03T06:27:42,2023-01-03T16:59:52,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-04,20,12,15.8,20,12,15.8,14.2,90.3,1.5,100,16.67,rain,0,0,32.8,18.3,72.3,1019.7,71,6.5,47.6,4.2,4,10,2023-01-04T06:27:56,2023-01-04T17:00:34,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-05,18,14,16.4,18,14,16.4,16.2,98.6,12.1,100,66.67,rain,0,0,39.6,35,354.9,1018.4,98,5.5,14,1.2,2,10,2023-01-05T06:28:08,2023-01-05T17:01:16,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-06,15,13,14.2,15,13,14.2,12.1,87.7,3.3,100,50,rain,0,0,27.4,22.3,300.5,1020.4,84.8,9.2,44.8,3.9,2,10,2023-01-06T06:28:19,2023-01-06T17:01:59,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-07,19,13,15.4,19,13,15.4,12.2,82.2,7.1,100,37.5,rain,0,0,27,22.3,299.8,1020.1,56.1,9.1,146.2,12.8,6,10,2023-01-07T06:28:28,2023-01-07T17:02:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-08,19,12,15.2,19,12,15.2,9.8,72.1,0,0,0,,0,0,22.3,16.6,318.3,1020.2,28.1,9.4,144.9,12.5,6,10,2023-01-08T06:28:36,2023-01-08T17:03:27,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-09,20,12,16.4,20,12,16.4,11.6,74.2,0,0,0,,0,0,39.2,20.4,117.7,1018.2,57.6,9,85.7,7.5,5,10,2023-01-09T06:28:42,2023-01-09T17:04:12,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-10,18,13,15.9,18,13,15.9,13.1,84.3,6.1,100,29.17,rain,0,0,52.9,37.1,290.2,1017.5,61.7,6.4,71,6.3,5,10,2023-01-10T06:28:47,2023-01-10T17:04:57,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-11,17,10,13.5,17,10,13.5,8.4,73.1,0.1,100,4.17,rain,0,0,42.8,35.2,307.2,1021.6,7.7,8.6,170,14.6,7,10,2023-01-11T06:28:50,2023-01-11T17:05:42,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-12,18,9,13.3,18,5.9,13,5.5,61.2,0,0,0,,0,0,34.6,24.1,303,1021.3,27.1,10,168.2,14.5,6,10,2023-01-12T06:28:52,2023-01-12T17:06:28,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-13,21,12,16.2,21,12,16.2,11.8,76.7,0,0,0,,0,0,13.3,12.9,316,1020.6,59.2,7.5,106.5,9.1,6,10,2023-01-13T06:28:52,2023-01-13T17:07:14,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-14,19,15,17.3,19,15,17.3,16.1,93.1,0.5,100,20.83,rain,0,0,28.8,16.6,148.2,1019.3,68.3,5.4,129.1,11.2,6,10,2023-01-14T06:28:51,2023-01-14T17:08:00,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-15,22,17,18.6,22,17,18.6,16,85.2,0.6,100,25,rain,0,0,27,16.5,151.3,1017.5,43.2,9.4,138.2,12,6,10,2023-01-15T06:28:48,2023-01-15T17:08:46,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-16,22,16,18.8,22,16,18.8,17.2,90.8,0.4,100,8.33,rain,0,0,20.2,16.6,336.5,1016.8,31.9,3.4,147.2,12.7,6,10,2023-01-16T06:28:44,2023-01-16T17:09:33,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-17,25,14,19.5,25,14,19.5,16.6,84.5,0.1,100,4.17,rain,0,0,64.8,46.4,289.1,1013.8,36.2,4.9,96.1,8.4,5,10,2023-01-17T06:28:38,2023-01-17T17:10:20,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-18,20,12,14.8,20,12,14.8,7.7,64.7,0,0,0,,0,0,45.4,33.5,300.1,1018.4,11,7.1,169.2,14.6,7,10,2023-01-18T06:28:31,2023-01-18T17:11:07,0.88,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-19,20,11,14.9,20,11,14.9,9.4,70.4,0,0,0,,0,0,42.5,27.7,313.1,1020,36.6,9.4,165.5,14.3,7,10,2023-01-19T06:28:22,2023-01-19T17:11:54,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-20,21,10,15.1,21,10,15.1,10.2,73.9,0,0,0,,0,0,31.3,18.4,311.6,1019.7,13.8,10,179.1,15.4,7,10,2023-01-20T06:28:11,2023-01-20T17:12:41,0.95,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-21,20,9,14.8,20,7.3,14.7,8.7,69.1,0,0,0,,0,0,13.7,14.7,6.1,1019.5,0.4,7.7,180,15.5,7,10,2023-01-21T06:28:00,2023-01-21T17:13:28,0,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-22,22,10,16.2,22,10,16.2,11.3,76.1,0,0,0,,0,0,9,11.1,22.3,1018.3,18,8.4,178.1,15.4,7,10,2023-01-22T06:27:46,2023-01-22T17:14:15,0.02,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-23,23,16,18.7,23,16,18.7,13.3,74.4,0,0,0,,0,0,12.2,16.5,29.5,1017.9,35.5,7.5,161.2,13.9,7,10,2023-01-23T06:27:31,2023-01-23T17:15:02,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-24,22,14,17.8,22,14,17.8,13.1,75.7,2.1,100,25,rain,0,0,22,16.5,46,1017.6,47.2,7.5,148.4,12.7,6,10,2023-01-24T06:27:15,2023-01-24T17:15:49,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-25,21,14,17.5,21,14,17.5,14.7,84.5,0.6,100,20.83,rain,0,0,25.2,25.9,68.5,1016.5,52.2,9.3,170.7,14.8,7,10,2023-01-25T06:26:57,2023-01-25T17:16:36,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-26,18,14,16.6,18,14,16.6,15,90.6,8.1,100,58.33,rain,0,0,36.4,29.5,14.8,1015.8,84.8,8.5,47.4,4,3,10,2023-01-26T06:26:38,2023-01-26T17:17:23,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-27,21,14,16.8,21,14,16.8,8.6,62.7,1.1,100,25,rain,0,0,36.7,31.7,330.9,1018,28.1,9,187.5,16,7,10,2023-01-27T06:26:17,2023-01-27T17:18:09,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-28,21,11,15.3,21,11,15.3,7.4,62.3,0,0,0,,0,0,38.5,29.5,311.4,1019.9,7.8,8.2,191.2,16.3,7,10,2023-01-28T06:25:55,2023-01-28T17:18:56,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-29,21,10,15.1,21,10,15.1,5,56.2,0,0,0,,0,0,28.4,13,241.2,1016.5,4.7,10,195.2,16.9,7,10,2023-01-29T06:25:32,2023-01-29T17:19:42,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-30,24,12,17.5,24,12,17.5,6.6,52.3,0,0,0,,0,0,36,24.1,159.8,1015,6.2,10,196.3,16.9,7,10,2023-01-30T06:25:07,2023-01-30T17:20:28,0.29,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-01-31,23,15,18.9,23,15,18.9,11.5,65.5,0,0,0,,0,0,56.2,33.5,146.2,1012.2,3.6,9.3,193.3,16.7,7,10,2023-01-31T06:24:40,2023-01-31T17:21:14,0.32,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-01,26,19,21.3,26,19,21.3,11,54.2,0,0,0,,0,0,65.5,33.2,185.3,1010.8,7.7,7.5,186.8,16.1,7,10,2023-02-01T06:24:12,2023-02-01T17:21:59,0.35,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-02,24,18,20,24,18,20,15.8,77.1,0,0,0,,0,0,37.4,27.7,338.3,1013.4,50.4,6.7,95.8,8.2,4,10,2023-02-02T06:23:43,2023-02-02T17:22:44,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-03,22,14,18.1,22,14,18.1,9.1,59,0,0,0,,0,0,48.2,40.6,339.7,1018.6,6.3,9,199.1,17.1,7,10,2023-02-03T06:23:13,2023-02-03T17:23:29,0.42,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-04,21,11,16,21,11,16,5,49.2,0,0,0,,0,0,33.5,20.5,323.2,1017,27.9,10,196,17,7,10,2023-02-04T06:22:41,2023-02-04T17:24:13,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-05,22,13,17,22,13,17,8.6,58.9,0,0,0,,0,0,14.8,41.8,12.5,1015.4,6.6,10,198.6,17.1,7,10,2023-02-05T06:22:08,2023-02-05T17:24:58,0.5,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-06,25,14,19.4,25,14,19.4,12.1,66.6,0,0,0,,0,0,47.2,33.4,133.2,1012.8,9.3,9.7,196.4,17.1,7,10,2023-02-06T06:21:34,2023-02-06T17:25:41,0.52,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-07,29,17,21.8,27.9,17,21.6,10.8,53.1,0,0,0,,0,0,49,29.5,281.6,1009.8,22.6,8.1,183.4,15.8,7,10,2023-02-07T06:20:58,2023-02-07T17:26:25,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-08,22,17,19.1,22,17,19.1,8.7,51.3,0,0,0,,0,0,51.1,31.7,351.9,1014.6,61,8.7,153.5,13.3,7,10,2023-02-08T06:20:21,2023-02-08T17:27:08,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-09,20,13,16.7,20,13,16.7,4,44,0,0,0,,0,0,35.3,35.2,334.8,1020.1,64.5,9.8,177.7,15.4,7,10,2023-02-09T06:19:43,2023-02-09T17:27:50,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-10,19,11,15.4,19,11,15.4,4,47,0,0,0,,0,0,38.2,29.5,332.6,1021.5,61.6,9.9,205.9,17.9,8,10,2023-02-10T06:19:04,2023-02-10T17:28:33,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-11,22,11,16.3,22,11,16.3,7,55.2,0,0,0,,0,0,28.1,16.6,33.2,1019.5,54.4,10,204.8,17.6,8,10,2023-02-11T06:18:23,2023-02-11T17:29:14,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-12,25,14,19.8,25,14,19.8,12.3,67.1,0,0,0,,0,0,42.5,29.5,142.7,1015.2,72.7,9.6,188.9,16.4,7,10,2023-02-12T06:17:42,2023-02-12T17:29:56,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-13,26,15,19.8,26,15,19.8,15.3,77.7,0,0,0,,0,0,50,24.1,0.9,1015.5,22.8,8.5,200.5,17.3,7,10,2023-02-13T06:16:59,2023-02-13T17:30:37,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-14,24,16,20.3,24,16,20.3,16.9,81.7,0,0,0,,0,0,43.2,18.4,39.2,1013.1,32.1,8.2,204.3,17.5,7,10,2023-02-14T06:16:15,2023-02-14T17:31:17,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-15,26,15,19.9,26,15,19.9,14.8,76.4,0,0,0,,0,0,41.8,24.2,348.4,1009.8,20.9,8.8,213.8,18.4,8,10,2023-02-15T06:15:30,2023-02-15T17:31:58,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-16,21,15,17.8,21,15,17.8,9.1,58.5,0,0,0,,0,0,59.4,44.6,339.8,1016.2,24.8,8.8,212.9,18.3,8,10,2023-02-16T06:14:45,2023-02-16T17:32:37,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-17,20,15,16.8,20,15,16.8,4.4,44.2,0,0,0,,0,0,59.4,46.4,336.6,1021,14.1,10,216.5,18.8,8,10,2023-02-17T06:13:58,2023-02-17T17:33:17,0.9,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-18,19,12,15,19,12,15,-0.8,34.3,0,0,0,,0,0,50,33.6,322.3,1022.7,35.4,9.3,212.3,18.3,8,10,2023-02-18T06:13:10,2023-02-18T17:33:55,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-19,21,11,15,21,11,15,1.1,39.9,0,0,0,,0,0,51.8,29.5,321,1022,73.1,10,200.7,17.3,7,10,2023-02-19T06:12:21,2023-02-19T17:34:34,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-20,23,9,15.9,23,6.1,15.8,1.1,38.7,0,0,0,,0,0,46.4,29.5,306.9,1019.7,51.2,10,222.3,19.1,8,10,2023-02-20T06:11:31,2023-02-20T17:35:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-21,24,10,17.2,24,10,17.2,0.2,36,0,0,0,,0,0,27,14.7,3,1016.8,66.1,10,176.6,15.3,7,10,2023-02-21T06:10:40,2023-02-21T17:35:49,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-22,26,12,19.3,26,12,19.3,7.9,54.6,0,0,0,,0,0,16.2,14.7,119.4,1014.1,7.1,8.6,231,20,8,10,2023-02-22T06:09:49,2023-02-22T17:36:26,0.07,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-23,29,14,20.7,27.4,14,20.5,4.8,40.4,0,0,0,,0,0,41.8,22.2,127.3,1009.8,9.3,10,232,20.1,8,10,2023-02-23T06:08:56,2023-02-23T17:37:03,0.1,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-24,28,17.5,22,26.7,17.5,21.8,7.1,43.6,0,0,0,,0,0,37.4,22.2,150.5,1009.6,15.7,10,234.3,20.3,8,10,2023-02-24T06:08:03,2023-02-24T17:37:39,0.13,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-25,27,15,21.2,27.3,15,21.2,13.7,63.3,0,0,0,,0,0,22,20.5,38.9,1012.9,5.5,8.2,226.6,19.5,8,10,2023-02-25T06:07:09,2023-02-25T17:38:15,0.17,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-26,28,18,23,28,18,23,16.4,68,0,0,0,,0,0,34.9,24,75.2,1014.1,40.1,8.3,215.1,18.7,8,10,2023-02-26T06:06:14,2023-02-26T17:38:51,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-27,27,21,23.2,26.8,21,23.2,14.8,60.9,0,0,0,,0,0,55.4,55.1,34.3,1015,63.3,9.2,222.7,19.4,8,5,2023-02-27T06:05:19,2023-02-27T17:39:26,0.25,Partially cloudy,Partly cloudy throughout the day.,wind,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-02-28,26,20,22.8,26,20,22.8,10.6,47.4,0,0,0,,0,0,42.5,33.4,357.8,1015.7,24,10,215.9,18.6,8,10,2023-02-28T06:04:22,2023-02-28T17:40:01,0.27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-03-01,26,16,20.1,26,16,20.1,3.7,35.6,0,0,0,,0,0,41.8,33.4,344.1,1015.8,28.7,9.2,222.1,19.1,8,10,2023-03-01T06:03:26,2023-03-01T17:40:35,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
"شارع القط, جامعة الملك فهد للبترول والمعادن, 34464 الظهران, السعودية",2023-03-02,28,14,20.3,26.6,14,20.1,2.3,34.3,0.1,100,4.17,rain,0,0,25.9,20.5,342.9,1016.7,12,10,250,21.6,9,10,2023-03-02T06:02:28,2023-03-02T17:41:09,0.33,Rain,Clear conditions throughout the day with early morning rain.,rain,"OEDR,41150099999,40416099999,OEDF,OBBI,40415099999"
